SPECOBJID RA DEC bptclass lgm_tot lgsfr_tot plateifu
493278606101866496 121.352363586 47.7442626953 1 9.36280441284 -0.849459350109 8719-3702
493297572677445632 122.2056427 47.3430595398 1 9.52218151093 -0.0298243910074 8719-6104
493303070235584512 122.137016296 47.7929954529 1 9.489610672 -0.110176935792 8719-3703
494332487879649280 121.521583557 44.6202392578 1 8.66757011414 -1.97272729874 8718-12705
494364098838947840 120.748542786 45.4919624329 1 9.06608772278 -1.2995454073 8718-12704
494384439804061696 122.229919434 45.6875801086 1 9.60147190094 0.142313286662 8718-3703
494397084187781120 122.068832397 45.3483467102 1 9.30256462097 -0.337239444256 8718-12703
495446293292804096 122.677360535 48.9188194275 1 9.24659919739 -0.341361135244 8720-6104
495458387920709632 122.298927307 49.0170440674 2 11.6172361374 -1.40512824059 8720-12701
495461136699779072 122.289779663 48.8719329834 1 9.43286991119 -0.46517136693 8720-6102
495442995210905600 122.677360535 48.9188194275 1 9.24650287628 -0.321678996086 8720-6104
495451241548113920 122.289779663 48.8719329834 1 9.43222999573 -0.454650998116 8720-6102
495455914472531968 122.298927307 49.0170440674 2 11.6172962189 -1.40506696701 8720-12701
495524084193454080 123.738502502 49.4586448669 2 10.7578611374 -0.566055059433 8720-9102
496539482443507712 125.274131775 45.8483352661 1 9.63965511322 0.00479340692982 8725-3701
499944395328481280 128.17829895 52.4168052673 1 9.73410129547 0.371444195509 8243-9101
501043357032671232 130.915023804 50.3865776062 3 10.1792602539 -0.226554840803 8244-1902
501177222573352960 130.454879761 50.7864341736 3 11.032875061 0.756108224392 8244-6101
501184919154747392 130.766265869 51.3256797791 1 10.4264450073 0.0383872427046 8244-6102
501195639393118208 131.513412476 51.2015457153 1 9.89901065826 0.0370921306312 8244-12702
502157437625722880 132.602371216 53.8970794678 1 9.57038593292 -0.241775423288 8724-9102
502169257375721472 132.28503418 53.7801208496 1 9.69382572174 -0.372587263584 8724-1902
502179977614092288 131.883850098 53.9052314758 3 11.2059221268 -1.01785612106 8243-6104
502183001271068672 132.017120361 54.027961731 2 9.83826446533 -1.54645311832 8724-12702
502185475172231168 130.720977783 53.3123512268 2 -9999.0 -9999.0 8243-709
502200868335020032 131.167266846 53.9511260986 1 10.1839818954 0.00688204867765 8243-12704
502212138329204736 130.335266113 53.9386787415 1 10.5511550903 -0.237499952316 8724-12701
502272336590825472 129.242874146 54.514667511 1 10.1080732346 -0.625994324684 8243-1901
502282781951289344 130.058059692 54.6981582642 1 9.56776046753 -0.0438014008105 8724-6103
502304772183844864 131.497772217 54.4433250427 1 9.55640697479 -1.00977957249 8724-12704
502320715102447616 132.116271973 54.952922821 2 11.2230052948 0.54755282402 8721-3701
503314123489044480 131.814926147 51.2458305359 3 10.0104894638 0.00151356228162 8244-3702
503370473459968000 130.241760254 52.8372383118 2 10.5307044983 -0.960018873215 8243-6102
503387241012291584 131.008666992 52.5088691711 2 -9999.0 -9999.0 8243-703
503387515890198528 131.614898682 53.0456161499 2 9.8970746994 -0.179180666804 8243-12705
503450188052981760 133.78755188 52.4705085754 3 11.072558403 -0.320224970579 8244-9101
504489776682919936 131.115127563 55.6285629272 1 10.8828811646 -1.52185237408 8724-3702
